CNPJ, NOME, EMISSAO, NUMERO, VALOR, CHAVE
05300331000322,Dairy Partners Americas Brasil Ltda,2013-09-04,85576,21569.41,NFe35130905300331000322550010000855761190274957
05300331000322,Dairy Partners Americas Brasil Ltda,2013-09-11,85770,37685.1,NFe35130905300331000322550010000857701565651232
05300331000322,Dairy Partners Americas Brasil Ltda,2013-09-11,85773,21062.71,NFe35130905300331000322550010000857731391228536
05300331000322,Dairy Partners Americas Brasil Ltda,2013-10-30,88066,67459.15,NFe35131005300331000322550010000880661954713568
05300331000322,Dairy Partners Americas Brasil Ltda,2013-10-30,88067,39932.68,NFe35131005300331000322550010000880671177517059
05300331000322,Dairy Partners Americas Brasil Ltda,2013-11-19,88870,36902.1,NFe35131105300331000322550010000888701617424510
05300331000322,Dairy Partners Americas Brasil Ltda,2013-11-19,88871,27142.67,NFe35131105300331000322550010000888711286850387
05300331000322,Dairy Partners Americas Brasil Ltda,2013-11-19,88926,37624.67,NFe35131105300331000322550010000889261435333958
05300331000322,Dairy Partners Americas Brasil Ltda,2013-11-19,88927,24538.37,NFe35131105300331000322550010000889271410057881
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-10,106323,73153.46,NFe35131205300331000241550010001063231234564066
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-10,106324,45597.93,NFe35131205300331000241550010001063241395919327
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-17,106917,69042.84,NFe35131205300331000241550010001069171762042944
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-17,106918,50707.15,NFe35131205300331000241550010001069181252117303
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-21,107250,62007.98,NFe35131205300331000241550010001072501473932305
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-21,107251,50764.9,NFe35131205300331000241550010001072511117878718
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-26,107663,58865.18,NFe35131205300331000241550010001076631152706661
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-27,107668,53808.01,NFe35131205300331000241550010001076681422891225
05300331000241,Dairy Partners Americas Brasil Ltda,2013-12-27,107669,57379.55,NFe35131205300331000241550010001076691001877100
05300331000241,Dairy Partners Americas Brasil Ltda,2014-01-25,115684,7641.44,NFe35140105300331000241550010001156841400052305
05300331000241,Dairy Partners Americas Brasil Ltda,2014-01-25,115685,63499.3,NFe35140105300331000241550010001156851404533844
05300331000241,Dairy Partners Americas Brasil Ltda,2014-01-25,115686,43935.31,NFe35140105300331000241550010001156861532264746
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-07,120460,52436.68,NFe35140205300331000241550010001204601764317072
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-07,120461,52611.59,NFe35140205300331000241550010001204611302886375
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-07,120462,6185.93,NFe35140205300331000241550010001204621555704043
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-15,123632,7641.46,NFe35140205300331000241550010001236321676556342
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-15,123634,49007.68,NFe35140205300331000241550010001236341688488775
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-15,123635,51779.68,NFe35140205300331000241550010001236351086327550
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-21,126047,58241.29,NFe35140205300331000241550010001260471344367488
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-21,126048,48417.91,NFe35140205300331000241550010001260481276015841
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-21,126049,7641.46,NFe35140205300331000241550010001260491141719120
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-27,128318,49099.81,NFe35140205300331000241550010001283181234658910
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-27,128319,52510.83,NFe35140205300331000241550010001283191779377674
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-27,128320,4730.42,NFe35140205300331000241550010001283201896789880
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-28,128934,26422.43,NFe35140205300331000241550010001289341189039800
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-28,128935,26770.98,NFe35140205300331000241550010001289351567585407
05300331000241,Dairy Partners Americas Brasil Ltda,2014-02-28,128936,4366.53,NFe35140205300331000241550010001289361065276693
05300331000241,Dairy Partners Americas Brasil Ltda,2014-03-07,130961,67000.56,NFe35140305300331000241550010001309611710440978
05300331000241,Dairy Partners Americas Brasil Ltda,2014-03-07,130962,42768.18,NFe35140305300331000241550010001309621387614032
05300331000241,Dairy Partners Americas Brasil Ltda,2014-03-07,130963,6913.69,NFe35140305300331000241550010001309631811765338
05300331000241,Dairy Partners Americas Brasil Ltda,2014-03-14,133552,51849.33,NFe35140305300331000241550010001335521440437654
